city,country,region,lat,lon,population,population_density,green_space_pct,traffic_intensity,pm25,pm10,no2,o3,air_quality_index,cluster,pca_1,pca_2
Amsterdam,Netherlands,Europe,52.389983000188224,4.88781099987638,872680,3979.0,30.0,5200,10.0,18.2,24.2,47.0,39.0,0,-1.0277442276108688,-0.2156026912911466
Bangkok,Thailand,Asia,13.664087,100.543436,10539000,6718.0,11.0,10600,22.6,39.0,0.0,0.0,73.0,2,2.048618779825195,2.0941686996833346
Beijing,China,Asia,39.9821,116.39660000000002,21540000,1312.0,44.4,8000,34.1,67.0,38.8,110.7,97.0,0,-0.23445379109926195,-0.026853769929489395
Belgrade,Serbia,Europe,44.82112,20.459113,1397939,3884.0,25.0,6800,20.8,29.2,24.6,40.5,69.0,1,-0.012172193931116447,0.305241791873869
Berlin,Germany,Europe,52.48945100006434,13.430843999965024,3644826,4088.0,44.0,6000,10.7,18.6,14.8,44.4,43.0,0,-1.3166567088965409,-0.3517762634106561
Budapest,Hungary,Europe,47.43083299988452,19.18417500009837,1752286,3336.0,36.0,7000,10.2,21.9,22.8,45.0,40.0,0,-0.726234167552718,0.3735223480253671
Buenos Aires,Argentina,Americas,-34.667375,-58.329231,2891082,14242.0,22.0,7600,15.2,20.4,16.8,28.1,57.0,1,0.9330853660459261,0.25705508725950216
Cairo,Egypt,Africa,30.04147,31.23289,21323000,19384.0,5.0,8400,54.7,18.6,15.8,37.3,139.0,3,3.3237030163359953,-0.3023448535824174
Cape Town,South Africa,Africa,-33.819667,18.514333,4618000,1876.0,32.0,6400,6.1,15.1,0.0,0.0,26.0,0,-0.9694550756641505,0.4556774546837241
Copenhagen,Denmark,Europe,55.70027924002429,12.5614004100753,794128,9213.0,35.0,4600,11.0,18.6,8.3,62.1,44.0,0,-1.0419029392521162,-0.9682147438002728
Delhi,India,Asia,28.6573814,77.1585447,32941000,22197.0,12.0,7800,88.7,173.8,20.2,20.8,157.0,3,3.9589710569101926,-1.89946202761108
Helsinki,Finland,Europe,60.223929999968256,25.102440000281156,656920,3065.0,40.0,4400,4.3,7.8,8.2,49.2,18.0,0,-1.9187607333100563,-0.6450744557545862
Johannesburg,South Africa,Africa,-26.045,28.098889,5635127,3426.0,24.0,6600,24.0,28.7,-1.9,0.0,76.0,1,0.019333417568434357,0.19181948781655023
London,United Kingdom,Europe,51.48879,-0.441614,8982000,5714.0,33.0,7400,6.8,11.6,20.4,46.7,28.0,1,-0.4010030078269958,0.5842106951011727
Madrid,Spain,Europe,40.33971999947,-3.73583,3223334,5334.0,35.0,5000,11.3,20.5,27.7,45.9,44.0,0,-1.1702464292982766,-0.5748705791211104
Melbourne,Australia,Oceania,-37.7784081,145.03060000000002,5078193,508.0,48.0,6400,6.1,15.4,0.0,0.0,25.0,0,-1.722553604927055,0.035390825660390736
Mexico City,Mexico,Americas,19.3573,-99.26279999999998,21672000,14594.0,18.0,9200,39.0,57.0,0.0,0.1,110.0,2,2.292189901506395,0.35318828664540786
Mumbai,India,Asia,18.91,72.82,20668000,34275.0,15.0,10600,55.3,100.4,18.6,15.6,117.0,3,4.671354929646999,-0.6314919675054953
New York,United States,Americas,40.720989,-74.192894,8336817,10636.0,27.0,6400,7.6,15.5,0.0,0.0,32.0,1,-0.11961962130389527,0.03706331755265165
New York,United States,Americas,40.816101,-73.902199,8336817,10636.0,27.0,6400,7.6,15.7,0.0,0.0,32.0,1,-0.11961962130389527,0.03706331755265165
Paris,France,Europe,48.89166599989756,2.346666999987613,2161000,20503.0,21.0,7200,11.7,17.4,25.5,47.7,44.0,1,1.179476607483743,-0.1598620802579806
Prague,Czech Republic,Europe,50.00730514514777,14.445933342314294,1335084,2692.0,40.0,6400,11.8,14.7,12.8,53.5,47.0,0,-1.0875469577657677,-0.0063406334256430824
Rome,Italy,Europe,41.894020000000005,12.475368,2873000,2236.0,30.0,7800,14.8,24.7,35.5,34.1,54.0,1,-0.168550365181184,0.830771195818258
Sao Paulo,Brazil,Americas,-23.56145989,-46.70201651,12325232,8103.0,20.0,7600,13.0,21.3,36.4,30.4,47.0,1,0.5329116130315567,0.7560153578395605
Shanghai,China,Asia,31.238,121.4,28516000,4497.0,38.0,7000,25.3,42.3,37.8,102.6,79.0,0,-0.31755347177523363,-0.18529522638493617
Stockholm,Sweden,Europe,59.31713213999999,18.04878744,975904,5191.0,40.0,4800,5.0,13.9,18.3,37.3,21.0,0,-1.622798173135441,-0.6288937477977727
Sydney,Australia,Oceania,-33.9177778,151.1347222,5312163,430.0,46.0,6200,6.4,16.0,0.0,0.0,25.0,0,-1.7026605045373366,0.011937095172654651
Tokyo,Japan,Asia,35.688889,139.563889,13960000,6363.0,7.5,6400,7.4,18.6,0.0,37.3,31.0,1,0.3838161364855914,0.9168749815889671
Toronto,Canada,Americas,43.64543,-79.38908,2930000,4649.0,28.0,7200,7.9,18.6,0.0,0.0,32.0,1,-0.30373197671070845,0.6928078921276578
Vienna,Austria,Europe,48.08611100003824,16.302221999650538,1911191,4610.0,49.7,5400,8.2,14.4,12.0,57.1,33.0,0,-1.7793336077391089,-0.7407693503360228
Zurich,Switzerland,Europe,47.377600000102944,8.530410000378652,421878,4800.0,45.0,5400,7.9,11.7,19.9,49.6,32.0,0,-1.5808636460183028,-0.5959554441931088
