city,country,country_code,region,station_id,station_name,sensor_id,parameter,value,date,lat,lon
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,70.8,2019-12-31,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,79.6,2020-01-01,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,72.8,2020-01-02,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,149.0,2020-01-03,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,110.0,2020-01-04,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,56.3,2020-01-05,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,23.5,2020-01-06,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,49.3,2020-01-07,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,47.3,2020-01-08,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,36.2,2020-01-09,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,43.6,2020-01-10,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,150.0,2020-01-11,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,188.0,2020-01-12,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,178.0,2020-01-13,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,93.5,2020-01-14,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,17.2,2020-01-15,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,75.0,2020-01-16,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,92.4,2020-01-17,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,115.0,2020-01-18,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,131.0,2020-01-19,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,170.0,2020-01-20,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,97.4,2020-01-21,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,39.7,2020-01-22,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,76.1,2020-01-23,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,40.5,2020-01-24,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,25.0,2020-01-25,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,56.4,2020-01-26,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,79.2,2020-01-27,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,65.5,2020-01-28,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,119.0,2020-01-29,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,104.0,2020-01-30,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,51.0,2020-01-31,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,26.8,2020-02-01,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,91.5,2020-02-02,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,57.6,2020-02-03,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,59.8,2020-02-04,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,32.2,2020-02-05,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,20.0,2020-02-06,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,46.4,2020-02-07,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,40.9,2020-02-08,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,42.1,2020-02-09,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,31.4,2020-02-10,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,48.1,2020-02-11,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,46.0,2020-02-12,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,20.4,2020-02-13,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,10.7,2020-02-14,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,35.2,2020-02-15,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,26.3,2020-02-16,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,26.6,2020-02-17,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,42.8,2020-02-18,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,53.2,2020-02-19,39.9821,116.39660000000002
Beijing,China,CN,Asia,7589,奥体中心,22038,pm10,47.3,2020-02-20,39.9821,116.39660000000002
