city,country,country_code,region,station_id,station_name,sensor_id,parameter,value,date,lat,lon
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,45.2,2020-01-01,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,30.9,2020-01-02,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,21.3,2020-01-03,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,24.3,2020-01-04,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,32.3,2020-01-05,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,24.1,2020-01-06,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,32.7,2020-01-07,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,28.2,2020-01-09,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,34.8,2020-01-10,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,18.9,2020-01-11,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,20.2,2020-01-12,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,20.3,2020-01-13,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,24.0,2020-01-14,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,32.5,2020-01-15,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,36.3,2020-01-16,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,27.2,2020-01-17,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,38.9,2020-01-18,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,44.4,2020-01-19,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,56.8,2020-01-20,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,60.5,2020-01-21,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,45.2,2020-01-22,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,38.9,2020-01-23,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,42.3,2020-01-24,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,31.0,2020-01-25,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,35.7,2020-01-26,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,42.0,2020-01-27,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,10.8,2020-01-28,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,26.3,2020-01-29,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,24.0,2020-01-30,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,19.3,2020-01-31,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,10.5,2020-02-01,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,18.0,2020-02-02,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,10.3,2020-02-03,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,19.7,2020-02-04,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,57.5,2020-02-05,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,69.4,2020-02-06,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,27.2,2020-02-08,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,10.1,2020-02-09,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,10.6,2020-02-10,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,9.45,2020-02-11,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,24.3,2020-02-12,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,27.1,2020-02-13,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,33.9,2020-02-14,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,17.0,2020-02-15,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,24.0,2020-02-16,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,13.9,2020-02-17,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,20.7,2020-02-18,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,30.2,2020-02-19,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,17.2,2020-02-20,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,22.3,2020-02-21,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,10.1,2020-02-22,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,17.0,2020-02-23,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,23.5,2020-02-24,51.48879,-0.441614
London,United Kingdom,GB,Europe,141,London Harlington,237,no2,13.6,2020-02-25,51.48879,-0.441614
