city,country,country_code,region,station_id,station_name,sensor_id,parameter,value,date,lat,lon
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00195,2019-12-31,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00368,2020-01-01,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00373,2020-01-02,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.0075,2020-01-03,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00173,2020-01-04,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00577,2020-01-05,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00882,2020-01-06,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.0032,2020-01-07,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00275,2020-01-08,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00764,2020-01-09,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00336,2020-01-10,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00536,2020-01-11,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00714,2020-01-12,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00677,2020-01-13,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00759,2020-01-14,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.0148,2020-01-15,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00325,2020-01-16,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00377,2020-01-17,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00648,2020-01-18,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00986,2020-01-19,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.0104,2020-01-20,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00988,2020-01-21,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.0151,2020-01-22,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.003,2020-01-23,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00343,2020-01-24,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00695,2020-01-25,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00205,2020-01-26,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00559,2020-01-27,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00405,2020-01-28,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00791,2020-01-29,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00782,2020-01-30,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00932,2020-01-31,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00252,2020-02-01,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00655,2020-02-02,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00359,2020-02-03,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00664,2020-02-04,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00595,2020-02-05,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.0062,2020-02-06,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00436,2020-02-07,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00326,2020-02-08,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.001,2020-02-09,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.0114,2020-02-10,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00625,2020-02-11,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00545,2020-02-12,-33.9177778,151.1347222
Sydney,Australia,AU,Oceania,336,Earlwood,4878,no2,0.00345,2020-02-13,-33.9177778,151.1347222
