city,country,country_code,region,station_id,station_name,sensor_id,parameter,value,date,lat,lon
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,28.9,2020-03-15,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,26.7,2020-03-16,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,23.4,2020-03-17,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,32.0,2020-03-18,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,33.5,2020-03-19,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,18.6,2020-03-20,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,8.16,2020-03-21,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,21.1,2020-03-22,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,23.2,2020-03-23,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,23.6,2020-03-24,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,28.1,2020-03-25,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,55.5,2020-03-26,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,50.5,2020-03-27,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,36.9,2020-03-28,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,9.02,2020-03-29,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,12.7,2020-03-30,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,15.9,2020-03-31,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,20.2,2020-04-01,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,25.3,2020-04-02,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,23.0,2020-04-03,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,22.6,2020-04-04,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,34.1,2020-04-05,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,32.8,2020-04-06,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,23.7,2020-04-07,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,24.2,2020-04-08,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,19.9,2020-04-09,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,19.3,2020-04-10,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,19.7,2020-04-11,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,15.6,2020-04-12,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,12.7,2020-04-13,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,11.5,2020-04-14,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,17.0,2020-04-15,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,21.7,2020-04-16,48.086111000038244,16.302221999650538
Vienna,Austria,AT,Europe,2827,Mödling Bachgasse,5902,pm10,26.8,2020-04-17,48.086111000038244,16.302221999650538
